2013-03-12 22:26:11-04:00	@MikeMcKenna56 I love soilwork!
2013-03-12 22:22:33-04:00	@MikeMcKenna56 @nhl_sens @benbishop30 thanks bro!! Hope everything is Well! Any new metal bands I should check out?:)
2013-03-12 21:57:14-04:00	@xPudDinFuSionx nope
2013-03-12 21:57:00-04:00	@xNathiee didn't like school to much..:)
2013-03-12 21:50:20-04:00	@goobee7 inflames in Gothenburg !:)
2013-03-12 21:49:40-04:00	@xPudDinFuSionx haven't used it
2013-03-12 21:48:51-04:00	@dusty_estey anything from inflames
2013-03-12 21:44:51-04:00	@goobee7 SOA and Big Bang theory
2013-03-12 21:35:10-04:00	@24nizzle 50 cent - tupac
2013-03-12 21:34:27-04:00	@CarlKlingberg @westandreas @nikjakobsson @christianfolin @antonracklin haha lugn nu:) we love u
2013-03-12 21:33:37-04:00	@Woody1836 a lot!
2013-03-12 21:32:52-04:00	@Jordan__Rattray Thus Spoke Zarathustra
2013-03-12 21:30:04-04:00	@RocketStyle_ great town and a great team!
2013-03-12 21:29:43-04:00	@CarlKlingberg @westandreas @nikjakobsson hahahahaha
2013-03-12 21:29:28-04:00	@Jordan__Rattray wanted to go back to my book to:)
2013-03-12 21:28:47-04:00	@montanaKarlsson @nhl_sens last game in Houston .. Calder cup win
2013-03-12 21:28:18-04:00	@NikJakobsson @carlklingberg @westandreas ohh yeah !! #freak;)
2013-03-12 21:25:58-04:00	@ADrlacic11 10 turning 11 I think
2013-03-12 21:25:32-04:00	@MattMcK2419 who knows;)
2013-03-12 21:24:48-04:00	@Jordan__Rattray sens account:)
2013-03-12 21:23:19-04:00	@westandreas @carlklingberg en armenier:)
2013-03-12 21:21:24-04:00	@LegendKiller613 in real life to!:)
2013-03-12 21:19:04-04:00	@AFORCEUNITED @nhl_sens all of them have been great! Regin has been a good support for me.
2013-03-12 21:18:02-04:00	@tweetchappy11 Luke has been really good for us!
2013-03-12 21:17:15-04:00	@CarlKlingberg @westandreas very special!! Booorrgg!!:)
2013-03-12 21:15:53-04:00	@Sedore_91 whatever they serve
2013-03-12 21:15:13-04:00	@sens_adnan haha not really
2013-03-12 20:47:23-04:00	Now lets go:)
2013-03-12 20:26:16-04:00	@SensForLife11 @nhl_sens @benbishop30 not my turn yet!:) ill be tuned in soon .
2013-03-12 19:15:10-04:00	I'm gonna start answering in the train :) give lehner 30 min!
2013-03-08 00:02:26-05:00	New york is a pretty sic city!! Nice basketball game tonight!;)
2013-03-08 00:00:20-05:00	@Classeman14 var är fågeln då?
