date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2007-01-01	0	1	0	0	7	0.0	25:43			
2007-01-04	0	3	2	4	7	0.0	18:24			
2007-01-06	1	1	0	0	7	14.3	25:35			
2007-01-09	2	1	1	0	5	40.0	17:51			
2007-01-11	0	2	-2	0	6	0.0	18:50			
2007-01-13	0	1	-2	0	3	0.0	18:17			
2007-01-16	0	1	0	2	5	0.0	22:44			
2007-01-18	1	0	2	0	6	16.7	20:40			
2007-01-20	0	1	-2	2	2	0.0	21:06			
2007-01-26	1	0	-3	2	4	25.0	22:07			
2007-01-27	1	1	-1	0	2	50.0	17:49			
2007-01-30	1	0	0	0	7	14.3	26:57			
2007-02-01	1	0	-1	0	3	33.3	21:32			
2007-02-03	0	0	-2	0	3	0.0	24:01			
2007-02-04	0	0	-1	2	2	0.0	21:17			
2007-02-06	0	0	0	2	2	0.0	17:38			
2007-02-08	0	1	3	0	2	0.0	22:10			
2007-02-10	1	0	-1	0	6	16.7	25:04			
2007-02-15	0	0	0	0	6	0.0	25:08			
2007-02-18	0	0	-1	0	5	0.0	19:44			
2007-02-20	0	0	-2	0	3	0.0	18:47			
2007-02-21	0	0	1	0	2	0.0	23:25			
2007-02-24	0	1	-1	0	4	0.0	18:40			
2007-02-25	1	0	0	0	3	33.3	20:03			
2007-02-27	2	2	2	0	6	33.3	26:33			
2007-03-01	1	1	-2	0	5	20.0	24:31			
2007-03-03	0	0	-1	0	2	0.0	26:21			
2007-03-06	0	0	-1	0	5	0.0	24:42			
2007-03-09	0	0	-1	0	7	0.0	23:00			
2007-03-10	1	0	0	0	10	10.0	21:22			
2007-03-12	2	0	-1	0	3	66.7	25:33			
2007-03-15	0	1	0	0	3	0.0	23:39			
2007-03-16	0	0	1	2	5	0.0	19:49			
2007-03-18	0	0	1	0	3	0.0	15:56			
2007-03-21	0	0	-1	0	3	0.0	17:58			
2007-03-22	2	0	0	0	3	66.7	21:18			
2007-03-24	0	0	-2	0	2	0.0	20:30			
2007-03-27	0	1	2	0	4	0.0	23:31			
2007-03-30	0	2	1	0	2	0.0	22:44			
2007-03-31	0	0	-2	0	3	0.0	21:32			
2007-04-03	1	0	1	0	5	20.0	21:27			
