puckdrop	decision	goals against	shots against	saves	save %
2015-10-10 19:00:00-04:00	W	4	41	37	.902
2015-10-14 19:00:00-04:00	W	3	41	38	.927
2015-10-15 19:00:00-04:00	L	2	36	34	.944
2015-10-17 19:00:00-04:00	O	3	25	22	.880
2015-10-24 19:00:00-04:00	L	3	25	22	.880
2015-10-28 19:30:00-04:00	W	4	38	34	.895
2015-10-31 19:00:00-04:00	L	5	28	23	.821
2015-11-03 19:30:00-05:00	W	1	37	36	.973
2015-11-05 19:30:00-05:00	W	2	40	38	.950
2015-11-10 20:00:00-05:00	L	7	38	31	.816
2015-11-14 13:00:00-05:00	O	1	34	33	.971
2015-11-16 19:30:00-05:00	O	4	37	33	.892
2015-11-19 19:30:00-05:00	W	0	25	25	1.000
2015-11-21 19:00:00-05:00	W	0	36	36	1.000
2015-11-24 20:30:00-05:00	W	4	37	33	.892
2015-11-25 21:30:00-05:00	W	3	43	40	.930
2015-11-28 22:00:00-05:00	L	4	19	15	.789
2015-12-01 19:30:00-05:00	L	3	32	29	.906
2015-12-03 19:30:00-05:00	W	3	38	35	.921
2015-12-05 19:00:00-05:00	W	2	31	29	.935
2015-12-06 19:00:00-05:00	L	3	30	27	.900
2015-12-08 19:30:00-05:00	W	2	27	25	.926
2015-12-10 19:30:00-05:00	L	3	29	26	.897
2015-12-12 19:00:00-05:00	L	3	31	28	.903
2015-12-14 19:30:00-05:00	W	3	36	33	.917
2015-12-18 19:30:00-05:00	W	2	33	31	.939
2015-12-22 19:30:00-05:00	O	1	40	39	.975
2015-12-27 17:00:00-05:00	W	1	39	38	.974
2015-12-29 19:00:00-05:00	L	7	37	30	.811
2016-01-03 19:00:00-05:00	L	2	29	27	.931
2016-01-07 19:30:00-05:00	L	3	16	13	.813
2016-01-09 19:00:00-05:00	W	1	34	33	.971
2016-01-13 22:00:00-05:00	L	4	38	34	.895
2016-01-16 16:00:00-05:00	W	3	33	30	.909
2016-01-18 22:30:00-05:00	W	3	35	32	.914
2016-01-21 19:00:00-05:00	L	4	7	3	.429
2016-01-24 15:00:00-05:00	W	0	35	35	1.000
2016-01-26 19:30:00-05:00	L	3	22	19	.864
2016-02-02 19:00:00-05:00	L	6	44	38	.864
2016-02-04 19:30:00-05:00	L	3	10	7	.700
2016-02-06 19:00:00-05:00	W	1	27	26	.963
2016-02-08 19:30:00-05:00	W	1	32	31	.969
2016-02-10 19:00:00-05:00	L	2	28	26	.929
2016-02-13 19:00:00-05:00	L	3	39	36	.923
2016-02-16 19:30:00-05:00	W	1	39	38	.974
2016-02-18 19:30:00-05:00	W	2	32	30	.938
2016-02-20 19:00:00-05:00	W	2	31	29	.935
2016-02-23 21:00:00-05:00	W	1	32	31	.969
2016-02-25 22:00:00-05:00	L	4	35	31	.886
2016-02-27 22:00:00-05:00	W	4	38	34	.895
2016-03-01 19:30:00-05:00		3	31	28	.903
2016-03-10 19:30:00-05:00	L	6	31	25	.806
2016-03-12 19:00:00-05:00	W	0	29	29	1.000
2016-03-15 19:30:00-04:00	W	2	25	23	.920
2016-03-18 19:00:00-04:00	L	3	34	31	.912
