date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2017-03-22	0	0	0	0	1	0.0	18:26	2	1	
2017-03-23	0	0	0	2	2	0.0	15:09	0	1	
2017-03-25	0	0	1	0	1	0.0	18:59	0	0	
2017-03-28	0	0	1	0	1	0.0	12:35	0	0	
2017-03-30	0	0	0	2	0		11:15	3	0	
2017-04-01	0	1	-1	0	1	0.0	16:02	0	0	
2017-04-03	0	0	-1	0	1	0.0	13:51	1	3	
2017-04-04	0	0	0	0	3	0.0	17:07	1	0	
2017-04-06	0	0	0	0	1	0.0	12:21	1	0	
2017-04-08	0	0	-1	0	0		15:35	0	1	
2017-04-09	0	0	1	0	0		19:51	1	1	
2017-10-04	0	1	2	0	1	0.0	15:27	0	0	
2017-10-07	0	0	-2	0	1	0.0	14:37	0	0	
2017-10-14	0	0	1	0	1	0.0	14:14	0	2	
2017-10-17	0	0	0	0	2	0.0	12:39	2	0	
2017-10-18	0	0	-1	0	1	0.0	13:19	0	1	
2017-10-21	0	0	-1	2	0		14:15	0	2	
2017-11-01	0	0	0	0	0		13:29	1	2	
2017-11-04	0	1	4	0	0		12:43	0	1	
2017-11-06	0	0	1	0	4	0.0	10:40	0	0	
2017-11-08	1	0	1	2	1	100.0	12:53	0	1	
2017-11-10	0	0	0	0	2	0.0	12:09	1	1	
2017-11-11	0	0	0	0	0		13:35	1	2	
2017-11-16	0	0	0	0	2	0.0	14:47	3	2	
2017-11-18	0	0	2	4	0		16:52	1	2	
2017-11-20	0	0	0	2	0		14:51	1	0	
2017-11-22	0	0	-1	0	1	0.0	12:00	0	1	
2017-11-24	0	0	0	0	0		13:24	2	3	
2017-12-19	1	0	3	0	3	33.3	17:37	1	3	
2017-12-20	0	0	-2	0	0		15:19	0	0	
2017-12-23	0	0	1	0	0		9:36	0	1	
2017-12-28	0	0	-1	4	1	0.0	16:58	2	3	
2018-01-02	0	0	0	0	0		16:17	2	1	
2018-01-04	0	1	0	2	0		14:04	3	0	
2018-01-06	0	0	-1	0	0		13:21	1	0	
