date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2018-12-20	0	0	-1	2	0		10:30	3	0	
2018-12-29	0	0	1	0	1	0.0	12:16	0	2	
2018-12-31	0	0	0	0	0		11:20	2	2	
2019-01-04	0	0	-1	0	0		11:39	2	2	
2019-02-05	0	0	-1	0	1	0.0	10:05	0	0	
2019-02-07	0	0	0	0	2	0.0	16:04	2	1	
2019-02-09	0	0	0	0	1	0.0	18:24	7	2	
2019-02-10	0	0	0	2	3	0.0	17:39	2	1	
2019-02-12	0	0	-1	0	1	0.0	16:47	1	0	
2019-02-15	0	0	0	0	0		11:47	4	0	
2019-02-17	0	0	-1	0	1	0.0	11:41	2	0	
2019-02-19	0	0	0	0	0		12:19	2	0	
2019-02-21	0	0	1	0	2	0.0	11:09	5	0	
2019-02-22	0	0	1	0	0		9:32	1	0	
2019-02-24	0	0	0	0	0		12:03	2	0	
2019-03-03	0	0	0	0	1	0.0	11:05	2	2	
2019-03-05	0	0	-2	0	0		11:10	0	1	
2019-03-11	0	0	-1	0	0		14:42	3	2	
2019-03-22	0	0	0	0	1	0.0	11:41	1	0	
2019-03-23	0	0	-3	2	1	0.0	13:07	3	3	
2019-04-04	0	0	-1	0	0		20:08	2	1	
2019-04-06	0	0	0	0	1	0.0	7:55	1	0	
2019-10-03	0	0	-1	0	2	0.0	15:18	4	2	
2019-10-04	0	0	0	0	2	0.0	13:27	1	0	
2019-10-06	0	1	0	0	1	0.0	16:05	3	0	
2019-10-08	0	0	0	2	3	0.0	18:03	1	1	
2019-10-10	0	0	-1	0	3	0.0	21:36	5	4	
2019-10-12	0	0	0	0	1	0.0	15:32	5	1	
2019-10-13	0	0	0	0	0		17:00	4	0	
2019-10-15	0	0	-1	0	2	0.0	9:05	1	1	
2019-10-22	0	0	-1	0	0		13:18	0	1	
2019-10-26	0	0	0	0	0		12:51	2	1	
2019-10-29	0	0	1	0	2	0.0	11:44	1	0	
2019-11-01	0	0	1	0	2	0.0	14:38	4	0	
2019-11-02	0	0	2	0	3	0.0	16:42	6	2	
2019-11-05	0	0	0	0	1	0.0	16:57	5	2	
2019-11-27	0	1	-1	2	0		17:56	5	2	
2019-11-29	0	0	1	7	0		14:07	2	0	
2019-11-30	0	0	-1	0	4	0.0	13:14	2	0	
2019-12-03	0	0	1	0	2	0.0	15:32	3	1	
2019-12-05	0	0	-1	2	0		11:16	1	1	
2019-12-08	0	0	0	0	0		15:11	3	3	
2019-12-10	0	0	1	0	0		20:07	3	1	
2019-12-12	0	0	0	2	0		14:55	2	0	
2019-12-15	0	0	2	0	3	0.0	15:28	3	1	
2019-12-17	0	0	1	2	1	0.0	16:35	1	1	
2019-12-19	0	0	0	0	2	0.0	16:53	3	2	
2019-12-21	0	2	2	2	2	0.0	13:19	1	0	
2019-12-23	0	0	-1	0	0		16:43	6	0	
2019-12-27	0	0	1	0	0		12:09	1	3	
2019-12-29	0	0	0	0	0		13:00	4	0	
2019-12-31	0	0	-1	2	2	0.0	16:00	7	1	
2020-01-02	0	0	-1	0	1	0.0	14:04	2	0	
2020-01-04	0	0	-1	0	2	0.0	16:00	1	0	
2020-01-06	0	0	1	0	1	0.0	15:47	5	1	
2020-01-08	0	0	1	0	1	0.0	12:34	1	0	
2020-01-09	0	0	-1	0	1	0.0	14:42	6	1	
2020-01-12	0	0	0	0	1	0.0	15:37	1	2	
2020-01-14	0	0	2	0	0		20:41	2	2	
2020-01-17	0	0	-3	0	1	0.0	16:50	0	0	
2020-01-19	0	0	-2	2	0		11:39	4	2	
