date time	display name	content
2020-04-22 15:00:59-04:00	Anthony Bitetto	"Tonight Do Not Miss This!

 7 PM CT
@JRoslovic96 and myself will be competing in the finals of the #TwitchRivals Tournament - where the winning team will receive $1 Million to their charity of their choice! https://t.co/54d9M1Gw1X"
2020-04-21 18:01:06-04:00	Anthony Bitetto	@NHLJets Legend!!
2020-04-21 02:24:57-04:00	Anthony Bitetto	Where we Dropping Squad?? Let’s get this !! #TwitchRivals  @Ballatw @itssky @brettpesce22
2020-04-20 22:40:41-04:00	Anthony Bitetto	Charity Draft Tonight - 1 Million Prize Pool - Check this out! Jersey giveaway as well!   https://t.co/k7xJ2QbnQJ
2020-04-20 15:43:51-04:00	Anthony Bitetto	@VincentDynamo 🙏🏻 same to you !
2020-04-20 12:01:46-04:00	Anthony Bitetto	Let’s see who picks us!! Tune in tonight https://t.co/DyVz4wHqs2
2020-04-17 22:54:21-04:00	Anthony Bitetto	This sounds familiar 🤦‍♂️ https://t.co/cFhx3hUwLj
2020-04-16 23:43:00-04:00	Anthony Bitetto	The boys are moving on to the finals!! @brettpesce22 @blemieux22 @JRoslovic96
2020-04-16 19:51:06-04:00	Anthony Bitetto	Here we go! Million Dollar Charity tournament ! https://t.co/mV1djnDMyI #TwitchRivals
2020-04-16 14:42:25-04:00	Anthony Bitetto	"All-pro athletes compete in the Twitch Rivals: SuperGames ft @FortniteGame Semifinals! 

Watch today at 4pmET /3c

Schedule &amp; Teams: https://t.co/urb7foEKho"
2020-04-13 23:54:19-04:00	Anthony Bitetto	Let’s go!! See ya Thursday.. Finished 11th today . @brettpesce22  And the boys in 7th... @JRoslovic96 @blemieux22 https://t.co/kEmH2GYO5Q
2020-04-13 22:46:31-04:00	Anthony Bitetto	Wow that was intense 😂... Let’s hope we qualified .. stay tuned...
2020-04-13 19:16:42-04:00	Anthony Bitetto	1 Million dollar charity Fortnite tourney starts today! Pro Athletes only, Starts @ 3ct. Come in and check it out ! https://t.co/mV1djnDMyI
2020-04-12 15:03:21-04:00	Anthony Bitetto	Happy Easter !!
2020-04-12 15:02:04-04:00	Anthony Bitetto	"@Squeek1487 @rjosi90 Don’t have the PS4 setup yet...
It’s coming soon 👍🏻"
2020-04-12 03:44:17-04:00	Anthony Bitetto	@Gamma_Chad @rjosi90 👀👀 haha
2020-04-12 01:41:20-04:00	Anthony Bitetto	@underdog29 @rjosi90 😂😂 Awesome!
2020-04-12 01:32:28-04:00	Anthony Bitetto	@adsroundtable @GreekGoalie35 @PredsNHL @PKSubban1 😎😎
2020-04-12 00:27:01-04:00	Anthony Bitetto	@JeannaJets55 @rjosi90 👍🏻👍🏻
2020-04-12 00:21:01-04:00	Anthony Bitetto	Great games @rjosi90 ! Thanks to all that watched, it was a blast! What's next?? Maybe some NHL 20 games with some fans.... 👀
2020-04-11 15:20:35-04:00	Anthony Bitetto	Big comeback today! Hopefully 🙏🏻 6pm CT @rjosi90 Don’t miss it!!
2020-04-10 00:20:53-04:00	Anthony Bitetto	Hope everyone is having fun with these streams!! Comeback will be fun 👌🏻 Should I hop on tonight again?? 🤔
2020-04-09 00:53:21-04:00	Anthony Bitetto	Back at it tomorrow 7pm/6ct 👀 https://t.co/Gt4ZQFmiI6
2020-04-08 17:43:42-04:00	Anthony Bitetto	@mkeadmirals @NHLJets 👋🏻👋🏻
2020-04-07 18:27:00-04:00	Anthony Bitetto	I feel bad for @rjosi90 😳 7pm/6c tonight! https://t.co/pJoaldCjcN
2020-04-07 18:25:05-04:00	Anthony Bitetto	@JBidz99 @NickBarnowski @rjosi90 👀
2020-04-04 18:15:26-04:00	Anthony Bitetto	Big qualifier for @MarbulaOne today! Who ya got!?? 😂😂 https://t.co/D9QltW1v4c
2020-04-03 19:44:21-04:00	Anthony Bitetto	@Arda @rjosi90 @TheNasher61 @NHL We'll have to join you guys one of these days!.. Xbox though..
2020-04-03 18:42:28-04:00	Anthony Bitetto	Maybe challenge someone in NHL 20... Any takers? @rjosi90 👀
2020-04-03 18:41:39-04:00	Anthony Bitetto	@kmartel_sports Have not, maybe I’ll check that out 👍🏻
2020-04-03 18:35:51-04:00	Anthony Bitetto	@PaulSkrbina Sup Paul! Watched that too 🤦🏼‍♂️
2020-04-03 18:32:54-04:00	Anthony Bitetto	I think your right! https://t.co/KaMjMBQoVf
2020-04-03 18:31:34-04:00	Anthony Bitetto	@NathanialLarkin 🤔
2020-04-03 18:29:41-04:00	Anthony Bitetto	Crushed Ozark... Now what ??
2020-04-01 21:19:44-04:00	Anthony Bitetto	I agree! 😂 https://t.co/9ovFBF3c0k
2020-03-29 20:36:14-04:00	Anthony Bitetto	😂😂 https://t.co/cu1El3iCir
2020-03-29 19:35:39-04:00	Anthony Bitetto	Disaster strikes in turn 1! 😂😂 @MarbulaOne
2020-03-29 18:13:09-04:00	Anthony Bitetto	Big @MarbulaOne race today! Let’s go @JMR_TheLimers !
2020-03-28 15:58:33-04:00	Anthony Bitetto	Oh yaaa! Let’s go LimeLime!!! https://t.co/iBddk0kMmO
2020-03-27 21:27:11-04:00	Anthony Bitetto	😂😂😂 https://t.co/1VaorJaz4R
2020-03-25 14:16:29-04:00	Anthony Bitetto	@ChewDoughty 😳😳
2020-03-22 16:43:46-04:00	Anthony Bitetto	@HollowHands 👍🏻 and you ?
2020-03-20 17:50:09-04:00	Anthony Bitetto	We’re All In It Together! #GoJetsGo https://t.co/0YQkeIozGE
2020-01-31 03:11:02-05:00	Anthony Bitetto	@blemieux22 😂😂😂
2020-01-29 15:50:37-05:00	Anthony Bitetto	#BellLetsTalk
2020-01-27 00:26:54-05:00	Anthony Bitetto	Kobe Bryant, way too soon. Set the tone for so many athletes, Legend and leader. Rest In Peace! #Mamba
2020-01-05 05:00:17-05:00	Anthony Bitetto	@FollowTheAntt 🔥🔥
2019-12-25 15:04:50-05:00	Anthony Bitetto	Merry Christmas 🎄
2019-12-04 20:31:00-05:00	Anthony Bitetto	@BigCheeseKIT @sdotcurry @WomboSports @Twitch #WomboUp
2019-11-28 17:18:13-05:00	Anthony Bitetto	Happy Thanksgiving!!
2019-10-14 14:30:18-04:00	Anthony Bitetto	Happy Canadian Thanksgiving! 🇨🇦
2019-10-05 02:30:35-04:00	Anthony Bitetto	Well that was just sick! #JetFuel
2019-09-08 20:39:46-04:00	Anthony Bitetto	Big blue with a hot start #NYG
2019-08-13 23:06:55-04:00	Anthony Bitetto	Let’s go! #WomboUp https://t.co/wekeznIeEo
2019-08-06 03:08:30-04:00	Anthony Bitetto	You know it! https://t.co/y4L3PHfRmD
2019-07-27 01:38:41-04:00	Anthony Bitetto	#WomboUp https://t.co/4ZnNUjB14B
2019-07-17 14:42:18-04:00	Anthony Bitetto	@_Snizz 😂😂😂
2019-07-14 15:41:02-04:00	Anthony Bitetto	@_Matty_ice_16 🤯
2019-07-10 22:40:21-04:00	Anthony Bitetto	@JTBrown23 @chernburn17 👀
2019-07-10 21:26:41-04:00	Anthony Bitetto	"To all those Fortnite fans, Use ""Uncle-T"" in the item shop. I will be donating all the money. Thank you for using the code!!"
2019-07-09 01:54:48-04:00	Anthony Bitetto	Vlad Jr. .... Oh My 😳
2019-07-04 12:21:47-04:00	Anthony Bitetto	Happy 4th!! 🇺🇸🇺🇸
2019-07-02 17:29:36-04:00	Anthony Bitetto	Love it! So excited to be apart of @NHLJets Looking forward to this year! See ya soon ✈️ https://t.co/PonX9MRj87
2019-06-27 03:43:53-04:00	Anthony Bitetto	Congrats bro! Unreal, enjoy it! @J_Infante22
2019-06-26 22:28:57-04:00	Anthony Bitetto	Well, @VandyBoys might as well get er’ done again! Good Luck!
2019-06-25 22:05:07-04:00	Anthony Bitetto	Good Luck @VandyBoys , Get er' done!
2019-06-24 06:44:11-04:00	Anthony Bitetto	@EricFehr @markscheifele55 @KidSportWpg Stick around....
2019-05-18 13:08:13-04:00	Anthony Bitetto	@Hartsy43 👀
2019-05-16 17:33:24-04:00	Anthony Bitetto	@Hartsy43 Sure am! 😘
2019-05-16 17:07:19-04:00	Anthony Bitetto	Anyone heading out to the @PGAChampionship tomorrow?
2019-05-12 15:09:15-04:00	Anthony Bitetto	@FollowTheAntt @cloakzy Safety first 😂
2019-05-04 13:32:06-04:00	Anthony Bitetto	Derby Day!
2019-04-24 04:22:11-04:00	Anthony Bitetto	Oh my 😳 #Game7
2019-04-23 19:42:25-04:00	Anthony Bitetto	👋🏻 🗽
2019-04-13 19:50:10-04:00	Anthony Bitetto	🐅🐅🐅
2019-03-04 19:56:28-05:00	Anthony Bitetto	@Alpo1289 👀
2019-03-02 17:32:13-05:00	Anthony Bitetto	@PrentissHockey @JustinoDangles
2018-12-30 23:01:21-05:00	Anthony Bitetto	Getting ready for this game!! Let’s goo!! #TitanUp @Titans
2018-12-30 20:46:31-05:00	Anthony Bitetto	Momma’s Trip to DC! 👍🏻 @ Lincoln Memorial https://t.co/O6HSCcM4u2
2018-11-28 16:00:22-05:00	Anthony Bitetto	😱🤭😱🤭 Wow! https://t.co/ymi0fDL2pO
2018-11-28 04:56:14-05:00	Anthony Bitetto	I need one! 👍🏻 https://t.co/xcoKKLGRnr
2018-11-22 23:14:58-05:00	Anthony Bitetto	Happy Thanksgiving !!
2018-10-16 20:48:40-04:00	Anthony Bitetto	😂😂😂 https://t.co/UWB482U1c9
2018-10-07 03:12:58-04:00	Anthony Bitetto	Always great playing in front of your hometown! Great trip for the boys, back to Smashville!! #2Dubs
2018-10-01 22:44:56-04:00	Anthony Bitetto	Scottyyy Kidd! One of the greatest to ever play this game, Congrats on an amazing career! Enjoy the time with Katie and Wes, hope to see you soon my friend! Love ya kiddd!! I’ll hold down… https://t.co/mpJhpnFF2p
2018-09-23 02:12:03-04:00	Anthony Bitetto	Not surprised... 🤷🏻‍♂️ https://t.co/QabWKIJtcC
2018-08-20 22:18:37-04:00	Anthony Bitetto	@PKSubban1 I mean if running the Track was an attribute you would be a 95 for sure #KitchenCall https://t.co/QDXDOyUBtQ
2018-08-13 23:42:07-04:00	Anthony Bitetto	@TomAWillis Sweet Tom, the rest of us are chop liver I guess ?
2018-08-12 16:10:40-04:00	Anthony Bitetto	Today is the day Tiger, today is the day...
2018-07-31 14:10:54-04:00	Anthony Bitetto	They wanted to put a better looking person for Nicholas https://t.co/0TDqpZ4yVX
2018-07-29 14:23:59-04:00	Anthony Bitetto	Can’t thank everyone enough for an amazing weekend! What a blast! @mintspringsfarm https://t.co/gGV7nnhlYv
